iter	Passed	Remaining
399	52022	78034
400	52174	77936
401	52294	77792
402	52424	77661
403	52564	77545
404	52715	77446
405	52857	77333
406	53002	77225
407	53143	77109
408	53293	77009
409	53458	76928
410	53627	76852
411	53792	76772
412	53940	76665
413	54075	76541
414	54205	76410
415	54340	76286
416	54463	76144
417	54603	76026
418	54749	75916
419	54926	75851
420	55086	75759
421	55252	75677
422	55428	75608
423	55596	75527
424	55772	75456
425	55947	75384
426	56105	75288
427	56252	75178
428	56417	75091
429	56563	74979
430	56705	74862
431	56853	74751
432	57006	74648
433	57175	74564
434	57358	74499
435	57536	74427
436	57686	74319
437	57856	74236
438	58051	74184
439	58230	74111
440	58384	74006
441	58542	73906
442	58731	73845
443	58874	73725
444	59025	73616
445	59186	73518
446	59328	73397
447	59471	73276
448	59610	73152
449	59759	73038
450	59903	72919
451	60043	72795
452	60177	72664
453	60310	72532
454	60437	72392
455	60572	72261
456	60696	72118
457	60827	71984
458	60960	71850
459	61090	71714
460	61235	71596
461	61397	71497
462	61525	71358
463	61652	71218
464	61782	71083
465	61914	70949
466	62074	70847
467	62205	70712
468	62352	70595
469	62521	70503
470	62675	70393
471	62834	70289
472	62977	70167
473	63120	70045
474	63267	69926
475	63404	69798
476	63539	69666
477	63692	69555
478	63827	69424
479	63974	69306
480	64130	69197
481	64300	69102
482	64466	69003
483	64646	68920
484	64784	68791
485	64928	68668
486	65075	68550
487	65218	68426
488	65353	68293
489	65502	68175
490	65632	68038
491	65796	67936
492	65948	67820
493	66110	67716
494	66258	67597
495	66390	67461
496	66513	67316
497	66651	67186
498	66797	67064
499	66922	66922
500	67064	66796
501	67225	66689
502	67359	66555
503	67485	66414
504	67631	66292
505	67776	66168
506	67912	66037
507	68051	65908
508	68185	65774
509	68311	65632
510	68463	65516
511	68602	65387
512	68754	65269
513	68873	65121
514	69007	64987
515	69150	64861
516	69281	64724
517	69396	64573
518	69530	64439
519	69649	64292
520	69781	64156
521	69941	64046
522	70093	63928
523	70243	63808
524	70373	63671
525	70501	63531
526	70628	63391
527	70763	63258
528	70885	63113
529	71003	62965
530	71130	62825
531	71256	62684
532	71381	62542
533	71516	62409
534	71638	62264
535	71774	62133
536	71893	61985
537	72036	61860
538	72182	61737
539	72300	61589
540	72432	61454
541	72564	61318
542	72689	61177
543	72816	61037
544	72940	60894
545	73076	60762
546	73201	60621
547	73342	60494
548	73491	60372
549	73640	60251
550	73769	60113
551	73894	59972
552	74011	59824
553	74124	59673
554	74253	59536
555	74369	59388
556	74502	59254
557	74620	59107
558	74745	58967
559	74872	58828
560	74996	58686
561	75122	58547
562	75239	58400
563	75369	58264
564	75485	58117
565	75600	57969
566	75720	57825
567	75847	57687
568	75967	57543
569	76086	57398
570	76212	57259
571	76332	57115
572	76459	56977
573	76580	56835
574	76712	56700
575	76841	56563
576	76970	56426
577	77087	56282
578	77207	56138
579	77324	55993
580	77446	55852
581	77566	55709
582	77700	55576
583	77837	55445
584	77967	55310
585	78084	55165
586	78217	55032
587	78344	54894
588	78465	54752
589	78602	54622
590	78730	54485
591	78858	54348
592	78993	54216
593	79121	54079
594	79247	53941
595	79373	53803
596	79490	53659
597	79608	53515
598	79739	53381
599	79857	53238
600	79979	53097
601	80097	52954
602	80222	52816
603	80333	52669
604	80463	52534
605	80587	52395
606	80714	52258
607	80839	52120
608	80962	51980
609	81090	51844
610	81203	51699
611	81327	51560
612	81445	51418
613	81571	51281
614	81695	51142
615	81819	51004
616	81951	50870
617	82086	50739
618	82201	50595
619	82321	50455
620	82439	50313
621	82574	50182
622	82688	50037
623	82813	49900
624	82929	49757
625	83072	49631
626	83185	49486
627	83316	49352
628	83437	49213
629	83564	49077
630	83697	48945
631	83811	48801
632	83940	48666
633	84077	48537
634	84193	48394
635	84328	48263
636	84442	48120
637	84567	47983
638	84693	47847
639	84815	47708
640	84936	47569
641	85057	47431
642	85195	47301
643	85319	47164
644	85447	47029
645	85581	46897
646	85707	46761
647	85826	46621
648	85941	46479
649	86057	46338
650	86190	46206
651	86321	46073
652	86439	45933
653	86569	45799
654	86693	45662
655	86818	45526
656	86934	45385
657	87070	45255
658	87189	45116
659	87321	44983
660	87473	44861
661	87617	44735
662	87767	44611
663	87909	44484
664	88065	44363
665	88219	44242
666	88374	44120
667	88522	43996
668	88681	43876
669	88843	43758
670	88986	43631
671	89145	43511
672	89264	43372
673	89402	43242
674	89535	43109
675	89667	42976
676	89789	42838
677	89918	42704
678	90043	42568
679	90169	42432
680	90294	42296
681	90424	42162
682	90557	42030
683	90687	41896
684	90816	41762
685	90939	41625
686	91076	41494
687	91193	41355
688	91324	41221
689	91459	41090
690	91585	40955
691	91708	40818
692	91830	40680
693	91960	40547
694	92087	40412
695	92209	40275
696	92336	40140
697	92454	40001
698	92589	39870
699	92709	39732
700	92843	39600
701	92973	39467
702	93095	39330
703	93216	39193
704	93344	39059
705	93466	38922
706	93601	38791
707	93739	38660
708	93876	38530
709	94003	38395
710	94133	38262
711	94258	38127
712	94376	37988
713	94492	37849
714	94615	37713
715	94737	37577
716	94865	37443
717	94989	37307
718	95103	37168
719	95223	37031
720	95357	36899
721	95491	36768
722	95676	36656
723	95820	36528
724	95949	36394
725	96096	36267
726	96239	36139
727	96380	36010
728	96504	35874
729	96639	35743
730	96788	35617
731	96940	35491
732	97077	35361
733	97211	35229
734	97354	35100
735	97502	34973
736	97632	34840
737	97767	34708
738	97903	34577
739	98039	34446
740	98185	34318
741	98320	34186
742	98473	34061
743	98621	33934
744	98773	33808
745	98919	33680
746	99067	33553
747	99197	33419
748	99340	33290
749	99482	33160
750	99630	33033
751	99763	32900
752	99908	32771
753	100051	32642
754	100183	32509
755	100317	32377
756	100451	32245
757	100596	32116
758	100743	31988
759	100894	31861
760	101044	31734
761	101183	31603
762	101313	31469
763	101453	31339
764	101596	31209
765	101739	31079
766	101883	30950
767	102029	30821
768	102172	30691
769	102300	30557
770	102433	30424
771	102577	30294
772	102717	30164
773	102852	30031
774	102997	29902
775	103132	29770
776	103275	29640
777	103414	29508
778	103553	29377
779	103709	29251
780	103857	29122
781	103996	28991
782	104148	28863
783	104300	28735
784	104441	28605
785	104565	28469
786	104685	28333
787	104807	28196
788	104939	28063
789	105076	27931
790	105196	27795
791	105318	27659
792	105453	27526
793	105575	27391
794	105693	27254
795	105830	27122
796	105956	26987
797	106076	26851
798	106212	26719
799	106349	26587
800	106477	26453
801	106593	26316
802	106718	26181
803	106841	26046
804	106966	25911
805	107103	25779
806	107231	25645
807	107368	25513
808	107486	25376
809	107614	25242
810	107738	25107
811	107868	24974
812	107999	24841
813	108126	24707
814	108245	24571
815	108362	24434
816	108495	24302
817	108626	24168
818	108749	24033
819	108886	23901
820	109004	23765
821	109129	23631
822	109258	23497
823	109382	23363
824	109509	23229
825	109632	23094
826	109760	22960
827	109892	22827
828	110009	22692
829	110130	22556
830	110247	22420
831	110376	22287
832	110493	22151
833	110607	22015
834	110738	21882
835	110855	21746
836	110977	21612
837	111104	21478
838	111233	21345
839	111357	21210
840	111476	21075
841	111603	20942
842	111716	20806
843	111846	20673
844	111973	20539
845	112107	20407
846	112237	20274
847	112370	20141
848	112505	20009
849	112624	19874
850	112745	19740
851	112871	19606
852	113002	19473
853	113133	19341
854	113250	19206
855	113368	19071
856	113506	18939
857	113651	18809
858	113772	18675
859	113894	18541
860	114012	18406
861	114129	18271
862	114259	18138
863	114379	18004
864	114503	17870
865	114633	17737
866	114762	17604
867	114888	17471
868	115003	17336
869	115130	17203
870	115248	17069
871	115367	16934
872	115494	16801
873	115623	16668
874	115749	16535
875	115871	16401
876	116000	16269
877	116137	16137
878	116252	16002
879	116382	15870
880	116509	15737
881	116642	15605
882	116770	15472
883	116898	15339
884	117015	15205
885	117146	15073
886	117271	14939
887	117388	14805
888	117514	14672
889	117645	14540
890	117771	14407
891	117891	14273
892	118020	14141
893	118134	14007
894	118247	13872
895	118377	13740
896	118494	13606
897	118635	13475
898	118771	13343
899	118886	13209
900	119000	13075
901	119158	12946
902	119273	12812
903	119409	12680
904	119533	12547
905	119682	12417
906	119806	12284
907	119927	12151
908	120045	12017
909	120159	11883
910	120277	11750
911	120408	11618
912	120533	11485
913	120661	11353
914	120789	11220
915	120914	11088
916	121042	10955
917	121164	10822
918	121280	10689
919	121408	10557
920	121535	10424
921	121663	10292
922	121777	10159
923	121907	10026
924	122029	9894
925	122142	9760
