,art_id,to_pick,weight,volume,tour_id,box_position_on_cart,box_type,order_time_sec,num_cluster
7747,917559,2,0.22399999999999998,3985.8,209874,3,2,19.746391000000003,1
7748,358343,3,1.213,6515.1,209874,3,2,19.439865,1
7749,539231,1,0.094,384.58,209874,3,2,4.149314,1
7750,539231,1,0.094,384.58,210237,4,2,4.879905,1
7751,594390,2,0.42200000000000004,1148.66,210237,4,2,12.274975000000001,1
7752,468487,1,0.35100000000000003,877.49,210237,4,2,2.488945,1
7753,500370,1,0.14400000000000002,1938.19,210237,4,2,5.35907,1
7754,500709,1,0.035,303.6,210237,4,2,1.970576,1
7755,812922,1,1.67,3614.4,210237,4,2,3.7223020000000004,1
7756,568229,1,0.008,73.75,210237,4,2,2.2993,1
7757,358734,3,2.67,16871.05,210237,4,2,32.813207000000006,4
7758,605337,1,5.232,39089.23,209810,4,2,12.887322000000001,4
7759,358734,2,2.67,16871.05,209810,4,2,19.018258,4
7760,521100,1,0.28600000000000003,4754.1,209961,4,2,1.846602,1
7761,168209,1,0.77,9114.0,209961,4,2,1.8911250000000002,1
7762,281372,1,0.13,1455.3,209961,4,2,1.433243,1
7763,594432,1,0.68,4789.75,209961,4,2,3.565087,1
7764,358734,2,2.67,16871.05,209961,4,2,14.646669000000001,4
7765,722828,3,1.475,2470.0,209961,4,2,9.154278,1
7766,476727,1,0.52,2247.7,224458,7,6,3.6721670000000004,0
7767,790649,1,1.07,4218.0,224458,7,6,5.377325,0
7768,380162,1,0.34,392.09,209806,4,4,1.559271,0
7769,466943,1,0.34,392.09,209806,4,4,1.5010530000000002,0
7770,51529,1,1.119,1395.0,209806,4,4,0.748745,0
7771,715926,1,0.511,626.57,209806,4,4,3.551124,0
7772,265411,1,0.775,1038.8,209806,4,4,0.45895400000000003,0
7773,17385,1,0.38299999999999995,438.22,209806,4,4,0.702677,0
7774,388883,1,0.34,392.09,209806,4,4,0.9208780000000001,0
7775,3641,1,0.34,392.09,209806,4,4,3.0530340000000002,0
7776,361703,1,5.34,33411.05,209806,4,4,16.290508000000003,4
7777,3557,1,0.34,392.09,209806,4,4,1.280281,0
7778,78558,2,0.34,392.09,209806,4,4,3.889723,0
7779,358734,1,2.67,16871.05,209806,4,4,3.2204750000000004,4
7780,425022,1,0.34,392.09,209806,4,4,2.217366,0
7781,265400,1,0.775,1038.8,209806,4,4,1.0944200000000002,0
7782,250426,2,0.077,386.75,209806,4,4,4.259819,0
7783,505459,4,0.046,115.2,224430,5,3,9.855309,0
7784,494726,1,0.337,740.08,224430,5,3,4.520118,0
7785,572967,1,0.087,326.19,224430,5,3,4.203649,0
7786,572972,1,0.011000000000000001,15.08,224430,5,3,2.9610990000000004,0
7787,631240,2,0.052000000000000005,135.0,224430,5,3,8.736232000000001,0
7788,358734,4,2.67,16871.05,209849,3,2,91.96026900000001,4
7789,594430,1,0.5670000000000001,4512.5,209849,3,2,4.283159,1
7790,469441,1,0.355,1575.0,209849,3,2,6.370161,1
7791,616931,1,0.18,470.4,209849,3,2,8.441729,1
